,Job Title Cleaned,Company,Industry,Employees_Avg,Followers_Numbers,New Applicants,City,State,Country,Job_type_cleaned,Type of role cleaned
1039,staff sr staff engineer,trellix,computer  network security,3000,442486,29,bengaluru,karnataka, india,onsite,fulltime  midsenior level
1040,sales specialist,citizen solar private limited,renewables  environment,126,6253,58,ahmedabad,gujarat, india,onsite,fulltime
1041,mechanical engineer fresher,spirale hr solutions pvt ltd,human resources,126,1450,2,delhi,delhi, india,onsite,fulltime  entry level
1042,adobe target,response informatics,information technology  services,3000,34784,11,telangana,, india,hybrid,fulltime  associate
1043,associate actimize developer,tiaa,financial services,10001,166759,51,pune,maharashtra, india,hybrid,fulltime  midsenior level
1044,servicenow developer,"enable, a fujitsu company",information technology  services,350,40682,79,noida,uttar pradesh, india,hybrid,fulltime  midsenior level
1045,cloud tech leadpaas,hanu software,information technology  services,750,33360,42,noida,uttar pradesh, india,hybrid,fulltime  midsenior level
1046,principal consultantpenetration testing,allstate india,information technology  services,7500,112243,101,bengaluru,karnataka, india,hybrid,fulltime  associate
1047,sfcc ui developer,swiftwin | a concord company,information technology  services,350,10239,67,maharashtra,, india,hybrid,fulltime  midsenior level
1048,sap tm consultant,infosys,information technology  services,10001,6987299,2,bengaluru east,karnataka, india,hybrid,fulltime  midsenior level
1049,lead application specialist,powerschool,education management,3000,82642,56,bengaluru,karnataka, india,onsite,fulltime  midsenior level
1050,plm enovia,infosys,information technology  services,10001,6987301,64,bengaluru east,karnataka, india,onsite,fulltime
1051,documentum developer,atidan technologies,information technology  services,126,21830,31,mumbai,maharashtra, india,hybrid,fulltime  midsenior level
1052,tech help squad lead india,travelopia,leisure travel  tourism,3000,32428,17,bangalore urban,karnataka, india,hybrid,fulltime  midsenior level
1053,investment banking work from home jobinternship at plutus business advisory,plutus business advisory,investment banking,6,1931,200,,,india,remote,fulltime  internship
1054,ca article assisstant,adithya & vishwas,financial services,30,3,3,bengaluru,karnataka, india,onsite,fulltime  entry level
1055,supply chain data analyst,hp,information technology  services,10001,5197303,69,bengaluru,karnataka, india,hybrid,fulltime  midsenior level
1056,implementation lead,vihara innovation network,government administration,30,11667,95,shillong,meghalaya, india,hybrid,contract
1057,record to report ops associaterecord to report,accenture in india,information technology  services,10001,1628890,38,bengaluru,karnataka, india,onsite,fulltime  entry level
1058,technology lead,broadridge india,financial services,7500,8735,58,hyderabad,telangana, india,onsite,fulltime
1059,senior associate bi di developer,ss&c technologies,computer software,10001,216378,52,navi mumbai,maharashtra, india,hybrid,fulltime  midsenior level
1060,sap tm consultant,infosys,information technology  services,10001,6987305,2,bengaluru east,karnataka, india,hybrid,fulltime  midsenior level
1061,risk enterprise risk analyst bengaluru,goldman sachs,financial services,10001,3718139,23,bengaluru,karnataka, india,onsite,fulltime  entry level
1062,integration servicesassistant manager,state street,financial services,10001,482321,-1,bengaluru,karnataka, india,onsite,fulltime
1063,etl specialist snowflake snowpark,axtria - ingenious insights,computer software,3000,128333,200,delhi,, india,hybrid,fulltime  midsenior level
1064,workday systems administrator,alliancebernstein,financial services,3000,93840,26,pune,maharashtra, india,onsite,fulltime  midsenior level
1065,tech lead cognos developer,arisglobal,computer software,3000,102879,61,bengaluru,karnataka, india,hybrid,fulltime  midsenior level
1066,senior analystrecord to report,accenture in india,information technology  services,10001,1628890,56,mumbai,maharashtra, india,onsite,fulltime  midsenior level
1067,młodszy specjalista ds wsparcia klienta z j słoweńskim,gdziepracujemy.pl,human resources,30,837,-1,mumbai,maharashtra, india,onsite,fulltime  entry level
1068,nuance powerscribe,hcltech,information technology  services,10001,4676032,49,bengaluru,karnataka, india,onsite,fulltime  midsenior level
1069,job opening for jdaby tms pan india,hcltech,information technology  services,10001,4676033,67,tamil nadu,, india,hybrid,fulltime  midsenior level
1070,lead google could engineer,virtusa,information technology  services,10001,885832,39,hyderabad,telangana, india,onsite,fulltime  midsenior level
1071,sap brim crmhybris,ey,information technology  services,10001,7366621,26,hyderabad,telangana, india,onsite,fulltime  midsenior level
1072,workday technical senior associate 2 bangalore,pwc acceleration centers,information technology  services,10001,281594,7,bengaluru,karnataka, india,onsite,fulltime  midsenior level
1073,sap advanced business application programming consultant,acl digital,information technology  services,3000,220635,75,bengaluru,karnataka, india,onsite,fulltime  midsenior level
1074,eaa audit manager,bimbo bakeries usa,food production,10001,196546,56,jalalabad,punjab, india,onsite,fulltime  midsenior level
1075,opportunity with tietoevry for azure synapse for bangalore location,tietoevry,information technology  services,10001,271434,7,bengaluru,karnataka, india,hybrid,fulltime
1076,software consultant,hexagon asset lifecycle intelligence,computer software,10001,97663,39,hyderabad,telangana, india,hybrid,fulltime  midsenior level
1077,servicenow,tata consultancy services,information technology  services,10001,12345838,155,bengaluru,karnataka, india,onsite,fulltime  midsenior level
1078,sr representative operations,concentrix,information technology  services,10001,1201810,88,thane,maharashtra, india,onsite,contract  entry level
1079,cat modelling,genpact,information technology  services,10001,2639096,35,gurugram,haryana, india,onsite,fulltime  midsenior level
1080,team lead enterprise data management edm,bunge,food production,10001,1213982,78,punjab,, india,onsite,fulltime  midsenior level
1081,engineer field services,wabtec corporation,railroad manufacture,10001,131450,61,tamil nadu,, india,onsite,fulltime  entry level
1082,sparkpyspark databricks,ltimindtree,information technology  services,10001,390685,49,chennai,tamil nadu, india,onsite,fulltime  midsenior level
1083,aem forms,axeno,information technology  services,126,5623,19,noida,uttar pradesh, india,onsite,fulltime  associate
1084,dance instructor,bangalore school for performing arts,higher education,30,40,44,bengaluru,karnataka, india,onsite,parttime
1085,sap bo business objects developer,cgi,information technology  services,10001,1118388,107,bengaluru,karnataka, india,onsite,fulltime  midsenior level
1086,technical lead workflow automation,link group (lnk),financial services,7500,53955,12,,,mumbai metropolitan region,hybrid,fulltime
1087,learning routes admission counselor sales,learning routes,elearning,126,19955,-1,nagpur,maharashtra, india,onsite,fulltime  midsenior level
1088,sap business warehouse consultant,tata consultancy services,information technology  services,10001,12345861,110,kolkata,west bengal, india,hybrid,fulltime  associate
1089,assistant managermanager equity research investment bank,credo consulting ltd,staffing  recruiting,30,222,1,delhi,delhi, india,onsite,fulltime  midsenior level
1090,data platform architect,xactly corp,computer software,750,52286,46,bengaluru,karnataka, india,onsite,fulltime  midsenior level
1091,riskbengaluruanalystliquidity risk,goldman sachs,financial services,10001,3718148,13,bengaluru,karnataka, india,onsite,fulltime  entry level
1092,l3 messaging and saas engineer,condé nast technology lab,publishing,350,27216,76,bengaluru,karnataka, india,hybrid,fulltime  midsenior level
1093,implementation lead,vihara innovation network,government administration,30,11667,95,shillong,meghalaya, india,hybrid,contract
1094,riskbengaluruanalystliquidity risk,goldman sachs,financial services,10001,3718148,13,bengaluru,karnataka, india,onsite,fulltime  entry level
1095,staff,bunge,food production,10001,1213983,52,andhra pradesh,, india,onsite,fulltime  associate
1096,hiring for part time work for data entry freshers can apply,global services,information technology  services,6,1054,2,,,greater kolkata area,onsite,fulltime
1097,metrologist,gestamp,automotive,10001,241446,26,kanchipuram,tamil nadu, india,onsite,fulltime  entry level
1098,nuance powerscribe,hcltech,information technology  services,10001,4676055,49,bengaluru,karnataka, india,onsite,fulltime  midsenior level
1099,sfcc ui developer,swiftwin | a concord company,information technology  services,350,10239,67,maharashtra,, india,hybrid,fulltime  midsenior level
1100,salesforce commerce cloud backend developer sfcc,marks and spencer reliance india private limited,retail,3000,207863,105,gurugram,haryana, india,onsite,fulltime  midsenior level
1101,instagram management influencing work from home jobinternship at united wellbeing foundation,united well-being foundation,mental health care,126,5660,19,,,india,remote,parttime  internship
1102,r shiny developer,quantzig,research,350,24138,24,bengaluru,karnataka, india,hybrid,fulltime  executive
1103,staff principal salesforce engineer,junglee games,computer games,750,94164,18,bengaluru,karnataka, india,hybrid,fulltime  midsenior level
1104,quality engineer associate 2 pt lab,pwc,accounting,10001,5085330,12,mumbai,maharashtra, india,onsite,fulltime  associate
1105,tutoring for spoken telugu work from home jobinternship at levelapp,levelapp,elearning,30,9909,29,,,india,remote,parttime  internship
1106,senior lead statistical programmer,clinchoice,pharmaceuticals,3000,60905,49,bengaluru,karnataka, india,onsite,fulltime  midsenior level
1107,grc lead engineer,ethos,insurance,350,13396,79,bengaluru,karnataka, india,onsite,fulltime  midsenior level
1108,lead data engineer,uplers,information technology  services,3000,819320,97,hyderabad,telangana, india,onsite,fulltime  midsenior level
1109,ifschief data office servicessenior associate cdo reporting kolkatabangalore,pwc acceleration centers in india,information technology  services,10001,136905,5,kolkata,west bengal, india,onsite,fulltime  entry level
1110,pega decisioning,careernet,staffing  recruiting,3000,106818,9,hyderabad,telangana, india,hybrid,fulltime  midsenior level
1111,sap tm consultant,infosys,information technology  services,10001,6987344,-1,bengaluru east,karnataka, india,hybrid,fulltime  midsenior level
1112,management trainee rtrhms028579,genpact,information technology  services,10001,2639109,122,hyderabad,telangana, india,hybrid,fulltime  associate
1113,assistant team leader new delhi india,blue umbrella limited,research,350,12123,166,new delhi,delhi, india,onsite,fulltime  entry level
1114,translation work from home jobinternship at pi consulting,pi consulting,management consulting,6,107,26,,,india,remote,fulltime  internship
1115,social media marketing internship in pune at firstcrycom,firstcry.com (brainbees solutions pvt. ltd.),retail,7500,66108,200,pune,maharashtra, india,onsite,fulltime  internship
1116,vd seating,akkodis,information technology  services,10001,1464837,35,chennai,tamil nadu, india,onsite,fulltime  midsenior level
1117,team lead cloud success demand,siemens healthineers,hospital  health care,10001,905146,15,bengaluru,karnataka, india,onsite,fulltime  midsenior level
1118,elk,capgemini,information technology  services,10001,5643262,82,bengaluru,karnataka, india,hybrid,fulltime  midsenior level
1119,teradata operations dba,teradata,computer software,10001,341021,44,mumbai,maharashtra, india,hybrid,fulltime  midsenior level
1120,dram controller verification leader,amd,semiconductors,10001,1068723,34,bengaluru,karnataka, india,onsite,fulltime  midsenior level
1121,senior tableau developer,valiantys - atlassian platinum solution partner,information technology  services,750,8449,72,delhi,delhi, india,remote,fulltime
1122,am analyticsana007048,genpact,information technology  services,10001,2639117,58,bengaluru,karnataka, india,onsite,fulltime  associate
1123,senior data api consultant,pluralsight,computer software,3000,175876,3,bengaluru,karnataka, india,hybrid,fulltime  midsenior level
1124,staff,bunge,food production,10001,1213984,66,andhra pradesh,, india,onsite,fulltime  associate
1125,software performance analyst cyber security,blackberry,computer software,7500,306410,65,uttar pradesh,, india,onsite,fulltime
1126,team leadbig data,infogain,information technology  services,7500,209419,40,gurugram,haryana, india,onsite,fulltime
