,Job Title Cleaned,Company,Industry,Employees_Avg,Followers_Numbers,New Applicants,City,State,Country,Job_type_cleaned,Type of role cleaned
300,data analyst,falcon smart it (falconsmartit),information technology  services,30,55048,98,bengaluru,karnataka, india,hybrid,fulltime  entry level
301,lead data analyst,sophos,computer software,3000,338268,200,bengaluru,karnataka, india,remote,fulltime  midsenior level
302,dataanalystqlikviewdeepanshittp,codersbrain,information technology  services,350,58816,25,bengaluru,karnataka, india,remote,fulltime  midsenior level
303,senior biostatistician,biorasi,research,350,59146,52,,,india,remote,fulltime  midsenior level
304,lead data analyst,the economist,newspapers,3000,13163852,200,gurugram,haryana, india,hybrid,fulltime  midsenior level
305,senior associate business intelligence analyst,ntt ltd.,information technology  services,10001,410812,200,bengaluru,karnataka, india,hybrid,fulltime  midsenior level
306,data analyst,alp consulting ltd.,staffing  recruiting,3000,103298,35,bengaluru,karnataka, india,onsite,fulltime  entry level
307,senior quantitative analytics specialist,wells fargo,financial services,10001,2160690,-1,hyderabad,telangana, india,onsite,fulltime  midsenior level
308,pmo data analyst,medline india,information services,3000,65104,32,pune,maharashtra, india,onsite,fulltime  midsenior level
309,data analyst consumer digital,alp consulting ltd.,staffing  recruiting,3000,103298,21,karnataka,, india,onsite,fulltime  entry level
310,consultant development 456 yearsanalytics development,infogain,information technology  services,7500,209435,13,bengaluru,karnataka, india,onsite,fulltime
311,data science,transunion,information technology  services,10001,322055,23,pune,maharashtra, india,onsite,fulltime
312,data quality analyst with python r sql,iss | institutional shareholder services,financial services,3000,61319,69,mumbai,maharashtra, india,hybrid,fulltime  associate
313,bi test analyst,wpp,marketing  advertising,10001,353630,200,chennai,tamil nadu, india,hybrid,fulltime  midsenior level
314,senior data scientist india,quantium,information technology  services,750,33253,113,hyderabad,telangana, india,hybrid,fulltime  midsenior level
315,data analyst rsasmatlab,visionkrid studio pvt ltd,computer games,30,7033,2,bengaluru,karnataka, india,onsite,fulltime  entry level
316,analytics consultant,wells fargo,financial services,10001,2160691,26,bengaluru,karnataka, india,onsite,fulltime  associate
317,associate statistician,gsk,pharmaceuticals,10001,3563560,113,bengaluru,karnataka, india,onsite,fulltime
318,uspba data scientist c11,citi,financial services,10001,4045441,50,bengaluru,karnataka, india,onsite,fulltime
319,uspba data scientist c11,citi,financial services,10001,4045442,50,bengaluru,karnataka, india,onsite,fulltime
320,sr specialist data analytics,at&t,telecommunications,10001,1651916,88,chennai,tamil nadu, india,hybrid,fulltime
321,collegeduniacom data analyst,collegedunia,information technology  services,750,132692,123,gurgaon,haryana, india,onsite,fulltime  entry level
322,product analyst platform analytics,victoria's secret,retail,10001,477269,94,bengaluru,karnataka, india,onsite,fulltime  midsenior level
323,business intelligence analyst data insights and visualization,general mills,consumer goods,10001,596962,192,mumbai,maharashtra, india,onsite,fulltime  midsenior level
324,data analyst,maruti suzuki india limited,automotive,10001,676206,200,new delhi,delhi, india,hybrid,fulltime  entry level
325,data scienceconsultant operation research,wipro,information technology  services,10001,6922454,111,bengaluru,karnataka, india,onsite,fulltime
326,data analyst sql fintech startup,unnati,farming,126,21427,164,mumbai,maharashtra, india,onsite,fulltime  entry level
327,lead quantitative analytics specialist,wells fargo,financial services,10001,2160911,1,bengaluru,karnataka, india,onsite,fulltime  midsenior level
328,senior data analyst,flexmoney technologies pvt ltd,financial services,30,11945,200,mumbai,maharashtra, india,onsite,fulltime  midsenior level
329,eapudata analyst pu otstaff,ey,information technology  services,10001,7367410,68,mumbai,maharashtra, india,onsite,fulltime  entry level
330,analyst insights and analytics,dsm,biotechnology,10001,405514,86,hyderabad,telangana, india,hybrid,fulltime  associate
331,data analyst,mr n mrs pet,computer software,30,694,11,jaipur,rajasthan, india,onsite,fulltime  midsenior level
332,senior analyst data management quantitative analysis,bny mellon,financial services,10001,497744,5,chennai,tamil nadu, india,onsite,fulltime
333,bi test analyst,wpp,marketing  advertising,10001,353659,200,chennai,tamil nadu, india,hybrid,fulltime  midsenior level
334,intermediate representative data management quantitative analysis,bny mellon,financial services,10001,497744,10,pune,maharashtra, india,onsite,fulltime
335,data analyst,nxtwave,education management,750,114267,200,hyderabad,telangana, india,onsite,fulltime  associate
336,expression of interest data analyst,fingerprint for success (f4s),computer software,30,106713,200,,,india,remote,fulltime  entry level
337,data research analyst,berkadia,financial services,3000,87018,200,hyderabad,telangana, india,onsite,fulltime  midsenior level
338,biostatistician phd home based,emmes,research,3000,19019,200,,,india,remote,fulltime  midsenior level
339,servicenow performance analytics and reporting analyst,workday,computer software,10001,761453,200,pune,maharashtra, india,hybrid,fulltime
340,expression of interest data analyst,fingerprint for success (f4s),computer software,30,106714,200,,,india,remote,fulltime  entry level
341,sr data analyst,target,retail,10001,1683022,42,bengaluru,karnataka, india,onsite,fulltime  midsenior level
342,senior clinical data analyst,parexel,pharmaceuticals,10001,495802,108,serilingampalli,telangana, india,remote,fulltime  midsenior level
343,data analyst,mantys (yc w23),computer software,6,1215,105,bengaluru,karnataka, india,hybrid,fulltime  entry level
344,data analyst 10,iti data,information technology  services,350,6754,18,ramban,jammu & kashmir, india,hybrid,fulltime  entry level
345,intermediate representative data management quantitative analysis,bny mellon,financial services,10001,497743,18,pune,maharashtra, india,onsite,fulltime
346,senior power bi specialist,icf,management consulting,7500,169885,105,delhi cantonment,delhi, india,onsite,fulltime  midsenior level
347,bi analyst,ecolab,chemicals,10001,480805,200,bengaluru east,karnataka, india,onsite,fulltime  midsenior level
348,scm business intelligence analyst,whitecrow research,human resources,750,35991,2,hyderabad,telangana, india,hybrid,fulltime  midsenior level
349,senior data analyst,mobile programming llc,information technology  services,3000,296987,27,chennai,tamil nadu, india,onsite,fulltime
350,data analyst,reality premedia services pvt ltd,information technology  services,350,4619,7,pune,maharashtra, india,hybrid,fulltime  midsenior level
351,sr data researcher i,s&p global,financial services,10001,353964,48,gurgaon,haryana, india,onsite,fulltime
352,data analyst,technoscience (domnic lewis international llc),staffing  recruiting,126,46827,200,bengaluru,karnataka, india,hybrid,fulltime  associate
353,senior power bi specialist,icf,management consulting,7500,169885,105,delhi cantonment,delhi, india,onsite,fulltime  midsenior level
354,data analyst,saama,computer software,3000,54126,200,pune,maharashtra, india,onsite,fulltime
355,data scientistquantitative analyst,antier solutions,information technology  services,750,15053,10,sahibzada ajit singh nagar,punjab, india,hybrid,fulltime  midsenior level
356,lead analytics consultant,wells fargo,financial services,10001,2160920,-1,chennai,tamil nadu, india,onsite,fulltime  midsenior level
357,senior analyst data modelling,pepsico,food  beverages,10001,7175348,85,hyderabad,telangana, india,onsite,fulltime  midsenior level
358,research data analyst senior data analyst,isg (information services group),information services,3000,42974,200,bengaluru,karnataka, india,onsite,fulltime  midsenior level
359,data science sr analyst compliance testing analytics,citi,financial services,10001,4045612,33,chennai,tamil nadu, india,onsite,fulltime
360,analyst data management quantitative analysis,bny mellon,financial services,10001,497743,157,pune,maharashtra, india,onsite,fulltime
361,dm metrics analyst,citi,financial services,10001,4045612,14,mumbai,maharashtra, india,onsite,fulltime
362,data analyst,falcon smart it (falconsmartit),information technology  services,30,55072,99,bengaluru,karnataka, india,hybrid,fulltime  entry level
363,lead analytics consultant,wells fargo,financial services,10001,2160920,8,chennai,tamil nadu, india,onsite,fulltime  midsenior level
364,forecasting analyst,newage products inc.,consumer goods,350,12030,200,,,india,remote,fulltime
365,business intelligence analyst operations,calix,computer software,3000,42055,200,bengaluru,karnataka, india,hybrid,fulltime  midsenior level
366,senior quantitative researcher,escalent,market research,750,33078,200,,,india,remote,fulltime  midsenior level
367,data analyst,acme services,human resources,126,162594,200,mumbai,maharashtra, india,onsite,fulltime  midsenior level
368,senior biostatistician for based pharma mnc,elixir consulting (a gi group holding company),human resources,3000,26436,3,bengaluru,karnataka, india,hybrid,fulltime  midsenior level
369,lead ii data analysis,ust,information technology  services,10001,821733,4,thiruvananthapuram,kerala, india,onsite,fulltime  midsenior level
370,analyst data analytics,tiaa,financial services,10001,166794,21,mumbai,maharashtra, india,onsite,fulltime  entry level
371,senior data analystjr00107792,bajaj finserv,financial services,10001,933392,65,pune,maharashtra, india,onsite,fulltime  midsenior level
372,managerdata analyst,sulekha .com new media private limited,nan,266,1344,49,chennai,tamil nadu, india,onsite,fulltime
373,associate iii data analysis,ust,information technology  services,10001,821734,186,thiruvananthapuram,kerala, india,onsite,fulltime  midsenior level
374,senior data analyst,house of shipping,transportationtruckingrailroad,350,36838,200,chennai,tamil nadu, india,onsite,fulltime  midsenior level
375,microsoft analytics,alp consulting ltd.,staffing  recruiting,3000,103329,29,pune,maharashtra, india,onsite,fulltime  entry level
376,data analyst edtech,hr consultancy,human resources,350,611,140,gurgaon,haryana, india,onsite,fulltime  entry level
377,product analyst ii,inmobi,marketing  advertising,750,205786,149,bengaluru,karnataka, india,onsite,fulltime  midsenior level
378,data and geospatial analyst ii,catholic relief services,nonprofit organization management,7500,225248,85,lucknow,uttar pradesh, india,hybrid,fulltime  midsenior level
379,principal quantitative analysis data analyticsstatistical analysis,gartner,information services,10001,1538218,16,gurgaon,haryana, india,hybrid,fulltime
380,lead i data analysis,ust,information technology  services,10001,821735,118,thiruvananthapuram,kerala, india,onsite,fulltime  midsenior level
381,data analyst 202223 batch,unite career solutions,information services,30,1287,200,nagpur,maharashtra, india,onsite,fulltime  entry level
382,data analyst,yo hr consultancy,staffing  recruiting,30,3867,43,chennai,tamil nadu, india,onsite,fulltime  midsenior level
383,lead analyst data management quantitative analysis,bny mellon,financial services,10001,497744,3,chennai,tamil nadu, india,onsite,fulltime
384,technical lead data analytics,johnson controls,mechanical or industrial engineering,10001,1247459,146,pune,maharashtra, india,onsite,fulltime  midsenior level
385,senior data research analyst thematic factor specialist,s&p global,financial services,10001,353967,156,mumbai,maharashtra, india,onsite,fulltime
386,associate statistician,gsk,pharmaceuticals,10001,3563746,118,bengaluru,karnataka, india,onsite,fulltime
387,junior data analyst business analyst,unite career solutions,information services,30,1287,200,pune,maharashtra, india,onsite,fulltime  entry level
388,data analyst big datapython,emproto technologies,information technology  services,126,5550,4,,,greater kolkata area,onsite,fulltime  entry level
389,senior business intelligence analyst,diebold nixdorf,information technology  services,10001,261979,106,hyderabad,telangana, india,remote,fulltime  midsenior level
390,bi analyst,ecolab,chemicals,10001,480808,200,bengaluru east,karnataka, india,onsite,fulltime  midsenior level
391,senior analyst data management quantitative analysis,bny mellon,financial services,10001,497744,47,pune,maharashtra, india,onsite,fulltime
392,intermediate representative data management quantitative analysis,bny mellon,financial services,10001,497744,31,pune,maharashtra, india,onsite,fulltime
393,lead data analyst,blinkit,computer software,3000,415220,157,gurgaon,haryana, india,onsite,fulltime  midsenior level
394,senior data scientist india,quantium,information technology  services,750,33253,114,hyderabad,telangana, india,hybrid,fulltime  midsenior level
395,sr data analyst,universal electronics,consumer electronics,3000,29497,9,bengaluru,karnataka, india,hybrid,fulltime  midsenior level
396,data analyst,stp research,market research,30,1662,18,noida,uttar pradesh, india,hybrid,fulltime  associate
397,data analyst senior data analyst,upstox,financial services,750,89018,151,mumbai,maharashtra, india,onsite,fulltime  midsenior level
398,project consultant data analyst data engineer data scientist na infra,arcadis,civil engineering,10001,849837,200,bengaluru,karnataka, india,hybrid,fulltime  midsenior level
399,business intelligence analyst,cummins inc.,automotive,10001,705226,168,pune,maharashtra, india,onsite,fulltime  midsenior level
400,data analyst,right advisors private limited,human resources,126,21081,96,bengaluru,karnataka, india,onsite,fulltime  entry level
401,data analyst,mantys (yc w23),computer software,6,1215,105,bengaluru,karnataka, india,hybrid,fulltime  entry level
402,analytics reporting specialist,nokia,telecommunications,10001,1513528,75,chennai,tamil nadu, india,onsite,fulltime
403,senior analytics consultant product services analytics services,wells fargo,financial services,10001,2160929,2,bengaluru,karnataka, india,onsite,fulltime  midsenior level
404,bigapple bi analystdata scientist pythonsql,bigapple lifestyle pvt. ltd,electrical  electronic manufacturing,126,896,4,hyderabad,telangana, india,hybrid,fulltime  midsenior level
405,data analyst,mojocare,health wellness  fitness,126,5298,200,bengaluru,karnataka, india,hybrid,fulltime  entry level
406,ref data mgmt analyst 1 c09,citi,financial services,10001,4045624,69,pune,maharashtra, india,onsite,fulltime
407,senior data analystdata modellers,epam systems,information technology  services,10001,861888,89,chennai,tamil nadu, india,remote,fulltime  associate
408,inbusiness credit risk quality assurance data analyst for wealth management,citi,financial services,10001,4045624,44,mumbai,maharashtra, india,onsite,fulltime
409,consultant data science and analytics,transunion,information technology  services,10001,322091,29,pune,maharashtra, india,onsite,fulltime
410,reference data management index and benchmark analyst,jpmorgan chase & co.,financial services,10001,3791985,54,mumbai,maharashtra, india,onsite,fulltime
411,global scm project data analyst,aptiv,automotive,10001,279199,121,bengaluru,karnataka, india,hybrid,fulltime
412,data analyst,shopse,computer software,126,9462,8,bengaluru,karnataka, india,onsite,fulltime  entry level
413,senior analytics consultant,wells fargo,financial services,10001,2160930,2,hyderabad,telangana, india,onsite,fulltime  midsenior level
414,lead analystanalytics,mashreq,banking,3000,1016335,111,bangalore urban,karnataka, india,onsite,fulltime  midsenior level
415,data analystassistant managerpune,_vois,information technology  services,10001,139945,200,pune,maharashtra, india,onsite,fulltime  entry level
416,statistician,ibm,information technology  services,10001,15196672,60,kochi,kerala, india,onsite,fulltime
417,data analyst,springer nature technology and publishing solutions,information technology  services,3000,93616,159,pune,maharashtra, india,onsite,fulltime  midsenior level
418,business data analyst,magnus india consulting services,staffing  recruiting,30,40781,200,mumbai,maharashtra, india,onsite,fulltime  midsenior level
419,data analyst,fitelo,health wellness  fitness,350,13245,200,sahibzada ajit singh nagar,punjab, india,onsite,fulltime  entry level
420,data analyst 2,iti data,information technology  services,350,6754,5,ramban,jammu & kashmir, india,hybrid,fulltime  midsenior level
421,senior analytics consultant,wells fargo,financial services,10001,2160932,2,hyderabad,telangana, india,onsite,fulltime  midsenior level
422,lead i data analysis,ust,information technology  services,10001,821736,134,chennai,tamil nadu, india,onsite,fulltime  midsenior level
423,data scientist engineer ii software analyst,xerox,information technology  services,10001,923251,37,kochi,kerala, india,onsite,fulltime  entry level
424,inbusiness credit risk quality assurance data analyst for wealth management,citi,financial services,10001,4045627,44,mumbai,maharashtra, india,onsite,fulltime
425,senior analytics consultant,wells fargo,financial services,10001,2160932,4,bengaluru,karnataka, india,onsite,fulltime  midsenior level
426,associate ii data analysis,ust,information technology  services,10001,821736,200,thiruvananthapuram,kerala, india,onsite,fulltime  midsenior level
427,data analystpower bi nextracker,alp consulting ltd.,staffing  recruiting,3000,103331,36,karnataka,, india,hybrid,fulltime  midsenior level
428,principal data scientist,bny mellon,financial services,10001,497746,59,pune,maharashtra, india,onsite,fulltime
429,business intelligence senior specialist,ntt data services,information technology  services,10001,487175,31,hyderabad,telangana, india,onsite,fulltime  midsenior level
430,data analyst,vision unlimited,human resources,30,2564,113,chandigarh,chandigarh, india,onsite,fulltime  entry level
431,senior analytics consultant,wells fargo,financial services,10001,2160932,7,chennai,tamil nadu, india,onsite,fulltime  midsenior level
432,data analyst intern,merkle science,computer software,30,16044,200,bengaluru,karnataka, india,hybrid,internship  midsenior level
433,sr data analyst,presto,computer software,350,13393,200,,,india,remote,fulltime  midsenior level
434,analyst data management quantitative analysis,bny mellon,financial services,10001,497747,194,maharashtra,, india,onsite,fulltime
435,senior data analyst,alp consulting ltd.,staffing  recruiting,3000,103331,8,tamil nadu,, india,hybrid,fulltime  midsenior level
436,jr power bi,tamcherry - zaportiv,information technology  services,30,19983,200,navi mumbai,maharashtra, india,hybrid,fulltime  midsenior level
437,data analyst,excellence and eminence llp,professional training  coaching,30,1263,61,bengaluru north,karnataka, india,onsite,fulltime  midsenior level
438,eapudata analyst pu otstaff,ey,information technology  services,10001,7367474,68,mumbai,maharashtra, india,onsite,fulltime  entry level
439,business data analyst,lg ad solutions,marketing  advertising,350,12134,107,bengaluru,karnataka, india,onsite,fulltime  midsenior level
440,data analyst,aecom,civil engineering,10001,1650468,200,bengaluru east,karnataka, india,hybrid,fulltime  entry level
441,lead data analyst transactions,s&p global,financial services,10001,353972,38,gurgaon,haryana, india,onsite,fulltime
442,data analyst training program only for women,derisk360,information services,30,15632,200,,,india,remote,fulltime  midsenior level
443,intermediate representative data management quantitative analysis,bny mellon,financial services,10001,497747,12,chennai,tamil nadu, india,onsite,fulltime
444,senior data analystdata modellers,epam systems,information technology  services,10001,861892,184,pune,maharashtra, india,remote,fulltime  associate
445,data analyst campaign operations,dbs bank,banking,10001,819892,124,,,mumbai metropolitan region,onsite,fulltime
446,data researcher i,s&p global,financial services,10001,353972,200,ahmedabad,gujarat, india,onsite,fulltime
447,data analyst,etraveli group,internet,3000,57196,200,mumbai,maharashtra, india,onsite,fulltime
448,data analyst,parity cube pvt. ltd.,internet,126,11345,200,mumbai,maharashtra, india,onsite,fulltime  entry level
449,data analyst big datapython,emproto technologies,information technology  services,126,5550,122,chennai,tamil nadu, india,onsite,fulltime  entry level
450,sr analyst analytics and data science,transunion,information technology  services,10001,322097,47,chennai,tamil nadu, india,onsite,fulltime  midsenior level
451,payroll transformation data analyst,arrow electronics,computer software,10001,266684,63,bengaluru,karnataka, india,onsite,fulltime  midsenior level
452,business analyst power bitableau,bluetick consultants,information technology  services,30,3904,2,bengaluru,karnataka, india,onsite,fulltime  midsenior level
453,ref data mgmt analyst 1 c09,citi,financial services,10001,4045632,69,pune,maharashtra, india,onsite,fulltime
454,lead ii data analysis,ust,information technology  services,10001,821736,56,thiruvananthapuram,kerala, india,onsite,fulltime  midsenior level
455,web analyst,decathlon sports india,retail,3000,222670,200,bengaluru,karnataka, india,hybrid,fulltime  midsenior level
456,lead data analyst,blinkit,computer software,3000,415224,157,gurgaon,haryana, india,onsite,fulltime  midsenior level
457,lead data analyst,innovaccer,information technology  services,3000,102989,172,noida,uttar pradesh, india,onsite,fulltime  midsenior level
458,data analyst powerbi,cubic corporation,information technology  services,7500,57119,200,hyderabad,telangana, india,onsite,fulltime  entry level
459,analyst data management quantitative analysis,bny mellon,financial services,10001,497747,157,pune,maharashtra, india,onsite,fulltime
460,payroll transformation data analyst,arrow electronics,computer software,10001,266684,63,bengaluru,karnataka, india,onsite,fulltime  midsenior level
461,lead i data analysis,ust,information technology  services,10001,821736,134,chennai,tamil nadu, india,onsite,fulltime  midsenior level
462,lead ii data analysis,ust,information technology  services,10001,821736,56,thiruvananthapuram,kerala, india,onsite,fulltime  midsenior level
463,senior analytics consultant,wells fargo,financial services,10001,2160940,2,hyderabad,telangana, india,onsite,fulltime  midsenior level
464,data analyst big datapython,emproto technologies,information technology  services,126,5550,80,hyderabad,telangana, india,onsite,fulltime  entry level
465,digital analytics analyst 21,bread financial,financial services,7500,77366,26,karnataka,, india,onsite,fulltime  midsenior level
466,analyst consumer insights apac,guidepoint,information services,3000,120622,57,mumbai,maharashtra, india,hybrid,fulltime  midsenior level
467,principal quantitative analysis data analyticsstatistical analysis,gartner,information services,10001,1538221,-1,gurgaon,haryana, india,hybrid,fulltime
468,lead quantitative analytics specialist,wells fargo,financial services,10001,2160941,1,bengaluru,karnataka, india,onsite,fulltime  midsenior level
469,eapudata analyst pu otstaff,ey,information technology  services,10001,7367485,70,kanayannur,kerala, india,onsite,fulltime  entry level
470,data analyst training program only for women,derisk360,information services,30,15632,200,,,india,remote,fulltime  midsenior level
471,inbusiness credit risk quality assurance data analyst for wealth management,citi,financial services,10001,4045641,14,mumbai,maharashtra, india,onsite,fulltime
472,data analyst,alp consulting ltd.,staffing  recruiting,3000,103332,40,karnataka,, india,hybrid,fulltime  entry level
473,business intelligence senior specialist,ntt data services,information technology  services,10001,487175,31,hyderabad,telangana, india,onsite,fulltime  midsenior level
474,data scientistaastha,codersbrain,information technology  services,350,58837,6,bengaluru north,karnataka, india,onsite,fulltime  associate
475,experienced associate forensic data analytics,bdo rise private limited,accounting,3000,51871,200,bengaluru,karnataka, india,hybrid,fulltime  midsenior level
476,biostatistician phd home based,emmes,research,3000,19019,200,,,india,remote,fulltime  midsenior level
477,data analyst,twid,internet,30,11895,200,bengaluru,karnataka, india,onsite,fulltime  associate
478,data analystdream hiring,codersbrain,information technology  services,350,58837,58,bengaluru,karnataka, india,remote,fulltime  midsenior level
479,lead data analyst,innovaccer,information technology  services,3000,102989,172,noida,uttar pradesh, india,onsite,fulltime  midsenior level
480,project consultant data analyst data engineer data scientist na infra,arcadis,civil engineering,10001,849849,200,bengaluru,karnataka, india,hybrid,fulltime  midsenior level
481,senior analyst data management quantitative analysis,bny mellon,financial services,10001,497747,5,chennai,tamil nadu, india,onsite,fulltime
482,power bi,eton solutions lp,computer software,350,42049,200,bangalore urban,karnataka, india,onsite,fulltime  midsenior level
483,intermediate representative data management quantitative analysis,bny mellon,financial services,10001,497747,21,pune,maharashtra, india,onsite,fulltime
484,data analyst tableau,sa technologies inc.,information technology  services,750,50755,126,mumbai,maharashtra, india,hybrid,fulltime  associate
485,verbatim analyst,yougov,market research,3000,361261,91,bengaluru,karnataka, india,onsite,fulltime  executive
486,associate analyst bi,ivy,computer software,3000,48241,200,hyderabad,telangana, india,onsite,fulltime  midsenior level
487,senior data analyst rpython,codeyoung,elearning,350,16724,54,bengaluru,karnataka, india,onsite,fulltime  midsenior level
488,data analystbusiness analyst r23006158,citi,financial services,10001,4045643,200,pune,maharashtra, india,onsite,fulltime
489,analytics consultant,wells fargo,financial services,10001,2160946,28,bengaluru,karnataka, india,onsite,fulltime  associate
490,data analyst fresh batch,unite career solutions,information services,30,1287,200,ahmedabad,gujarat, india,onsite,fulltime  entry level
491,specialist data management quantitative analysis,bny mellon,financial services,10001,497748,6,pune,maharashtra, india,onsite,fulltime
492,data analyst,integrichain,pharmaceuticals,750,18704,200,pune,maharashtra, india,hybrid,fulltime  associate
493,data analyst,kia india,automotive,3000,326231,200,gurugram,haryana, india,onsite,fulltime  associate
494,data analyst,reality premedia services pvt ltd,information technology  services,350,4619,7,pune,maharashtra, india,hybrid,fulltime  midsenior level
495,senior data analyst,atkins,design,10001,790016,5,bengaluru,karnataka, india,onsite,fulltime  midsenior level
496,data analyst big datapython,emproto technologies,information technology  services,126,5550,122,chennai,tamil nadu, india,onsite,fulltime  entry level
497,senior analyst data management quantitative analysis,bny mellon,financial services,10001,497748,5,chennai,tamil nadu, india,onsite,fulltime
498,data analyst,eteam,staffing  recruiting,750,283152,12,andhra pradesh,, india,onsite,110000hr  125000hr  contract  associate
499,quantitative analyst i,mr. cooper,financial services,7500,103057,76,chennai,tamil nadu, india,onsite,fulltime  midsenior level
500,senior data scientist principal data science analyst,citi,financial services,10001,4045645,54,bengaluru,karnataka, india,onsite,fulltime
501,product engineer i matching data analyst,experian,information services,10001,580707,105,mumbai,maharashtra, india,hybrid,fulltime  midsenior level
502,interesting job opportunity tata power data scientist predictive modelingmachine learning,tata power,utilities,10001,1054922,200,mumbai,maharashtra, india,hybrid,fulltime  entry level
503,data analyst sastableau,datazymes,management consulting,126,7761,200,bengaluru,karnataka, india,onsite,fulltime  entry level
504,kaleidofin data analyst pythonsql,kaleidofin private limited,financial services,126,7728,119,bengaluru,karnataka, india,onsite,fulltime  entry level
505,senior data analyst rpython,codeyoung,elearning,350,16724,54,bengaluru,karnataka, india,onsite,fulltime  midsenior level
506,report analysts data analytics,mindpool technologies inc,information technology  services,750,14141,9,jaipur,rajasthan, india,hybrid,fulltime  midsenior level
507,lead tableau consultant,pharmaace,management consulting,350,16594,124,pune,maharashtra, india,onsite,fulltime  midsenior level
508,senior data scientist india,quantium,information technology  services,750,33254,114,hyderabad,telangana, india,hybrid,fulltime  midsenior level
509,experienced systems data analyst,boeing,aviation  aerospace,10001,2988839,26,bengaluru,karnataka, india,onsite,fulltime
510,data analyst,aston carter,staffing  recruiting,3000,288289,137,pune,maharashtra, india,onsite,contract
511,analytics consultant,quantzig,research,350,24157,199,bengaluru,karnataka, india,onsite,fulltime  midsenior level
512,senior data analystdata modellers,epam systems,information technology  services,10001,861910,184,pune,maharashtra, india,remote,fulltime  associate
513,inbusiness credit risk quality assurance data analyst for wealth management,citi,financial services,10001,4045648,14,mumbai,maharashtra, india,onsite,fulltime
514,data analyst,acme services,human resources,126,162618,200,mumbai,maharashtra, india,hybrid,fulltime  midsenior level
515,senior data management analyst,wells fargo,financial services,10001,2160950,3,bengaluru,karnataka, india,onsite,fulltime  midsenior level
516,data analytics internship in pune at the strelema,the strelema,management consulting,30,3043,110,pune,maharashtra, india,onsite,fulltime  internship
517,big data,alp consulting ltd.,staffing  recruiting,3000,103334,7,navi mumbai,maharashtra, india,onsite,fulltime  entry level
518,senior product analytics associate,athenahealth,information technology  services,7500,157006,200,chennai,tamil nadu, india,hybrid,fulltime  midsenior level
519,senior data analystdata modellers,epam systems,information technology  services,10001,861912,89,chennai,tamil nadu, india,remote,fulltime  associate
520,associate consultant risk analytics oracle developer plsql,northern trust asset servicing,financial services,10001,32162,57,,,mumbai metropolitan region,onsite,fulltime  midsenior level
521,senior quantitative analytics specialist,wells fargo,financial services,10001,2160953,-1,bengaluru,karnataka, india,onsite,fulltime  midsenior level
522,tableau report lead p4449,nisum,information technology  services,3000,97069,200,hyderabad,telangana, india,hybrid,fulltime  entry level
523,data analyst,turing,information technology  services,3000,216016,200,,,india,remote,fulltime  entry level
524,associate web analyst,gainsight,computer software,3000,101984,168,hyderabad,telangana, india,onsite,fulltime
525,intermediate representative data management quantitative analysis,bny mellon,financial services,10001,497749,12,pune,maharashtra, india,onsite,fulltime
526,lead ii data analysis,ust,information technology  services,10001,821744,127,thiruvananthapuram,kerala, india,onsite,fulltime  midsenior level
527,associate iii data analysis,ust,information technology  services,10001,821744,200,thiruvananthapuram,kerala, india,onsite,fulltime  midsenior level
528,data analyst,right advisors private limited,human resources,126,21081,145,hyderabad,telangana, india,onsite,fulltime  entry level
529,interesting job opportunity aspect ratio analyst analyticsdata science,aspect ratio,management consulting,126,7139,20,pune,maharashtra, india,onsite,fulltime  entry level
530,senior associate business intelligence analyst,ntt ltd.,information technology  services,10001,410879,200,bengaluru,karnataka, india,hybrid,fulltime  midsenior level
531,data analystbusiness analyst r23006158,citi,financial services,10001,4045650,200,pune,maharashtra, india,onsite,fulltime
532,automation analyst esg data,s&p global,financial services,10001,353980,83,gurgaon,haryana, india,onsite,fulltime
533,senior analytics consultant,wells fargo,financial services,10001,2160955,5,bengaluru,karnataka, india,onsite,fulltime  midsenior level
534,analytics consultant,quantzig,research,350,24157,199,bengaluru,karnataka, india,onsite,fulltime  midsenior level
535,automation analyst esg data,s&p global,financial services,10001,353980,79,ahmedabad,gujarat, india,onsite,fulltime
536,mis analyst,mnr solutions pvt. ltd.,staffing  recruiting,750,69464,40,mumbai,maharashtra, india,onsite,fulltime  midsenior level
537,data analyst,acme services,human resources,126,162620,200,bengaluru,karnataka, india,onsite,fulltime  midsenior level
538,data analyst,uplers,information technology  services,3000,819392,200,new delhi,delhi, india,remote,fulltime  midsenior level
539,data science nlp analyst,turing,information technology  services,3000,216017,72,,,india,remote,fulltime  entry level
540,lead ii data analysis,ust,information technology  services,10001,821747,172,bengaluru,karnataka, india,onsite,fulltime  midsenior level
541,web analyst,alp consulting ltd.,staffing  recruiting,3000,103334,9,new delhi,delhi, india,onsite,fulltime  midsenior level
542,data analyst biglittleai,codejudge inc.,computer software,30,4083,3,bengaluru north,karnataka, india,onsite,fulltime  midsenior level
543,data analystsenior data analyst 23 yrs,axis my india,market research,750,14911,2,mumbai,maharashtra, india,onsite,fulltime  midsenior level
544,lead data analyst big data pyspark,citi,financial services,10001,4045651,89,bengaluru,karnataka, india,onsite,fulltime
545,data analyst data validation,m360 research,market research,350,16437,200,bengaluru,karnataka, india,hybrid,fulltime  associate
546,verbatim analyst,yougov,market research,3000,361262,91,bengaluru,karnataka, india,onsite,fulltime  executive
